IDs,Discription
100,bus-and-cycle-signs-jpg
101,direction-and-tourist-signs-jpg
102,information-signs-jpg
103,level-crossing-signs-jpg
104,low-bridge-signs-jpg
105,miscellaneous-jpg
106,motorway-signs-jpg
107,on-street-parking-jpg
108,pedestrian-zone-signs-jpg
109,"pedestrian,-cycle,-equestrian-jpg"
110,regulatory-signs-jpg
111,road-works-and-temporary-jpg
112,signs-for-cyclists-and-pedestrians-jpg
113,speed-limit-signs-jpg
114,tidal-flow-lane-control-jpg
115,traffic-calming-jpg
116,tram-signs-jpg
117,warning-signs-jpg
